Sample name,Sample name prefix,Galaxy ID,Group,Age,Gender,Replicate,Project id,Lane,Name in project,# Reads
GF_52w_M_1,GF_52w_M,,GF,52w,M,1,Project_148,2,Sample_Mg_GF1_old,"35,713,942.00"
GF_8w_M_1,GF_8w_M,,GF,8w,M,1,Project_148,2,Sample_Mg_GF1_young,"25,919,398.00"
GF_52w_M_2,GF_52w_M,,GF,52w,M,2,Project_148,2,Sample_Mg_GF2_old,"29,752,263.00"
GF_8w_M_2,GF_8w_M,,GF,8w,M,2,Project_148,2,Sample_Mg_GF2_young,"24,133,081.00"
GF_52w_M_3,GF_52w_M,,GF,52w,M,3,Project_148,3,Sample_Mg_GF3_old,"26,395,568.00"
GF_8w_M_3,GF_8w_M,,GF,8w,M,3,Project_148,1,Sample_Mg_GF3_young,"33,992,780.00"
GF_52w_M_4,GF_52w_M,,GF,52w,M,4,Project_148,1,Sample_Mg_GF4_old,"43,039,786.00"
GF_8w_M_4,GF_8w_M,,GF,8w,M,4,Project_148,1,Sample_Mg_GF4_young,"34,793,315.00"
SPF_52w_M_1,SPF_52w_M,,SPF,52w,M,1,Project_148,3,Sample_Mg_SPF1_old,"39,848,443.00"
SPF_8w_M_1,SPF_8w_M,,SPF,8w,M,1,Project_148,3,Sample_Mg_SPF1_young,"22,409,703.00"
SPF_52w_M_2,SPF_52w_M,,SPF,52w,M,2,Project_148,3,Sample_Mg_SPF2_old,"48,057,292.00"
SPF_8w_M_2,SPF_8w_M,,SPF,8w,M,2,Project_148,1,Sample_Mg_SPF2_young,"36,671,418.00"
SPF_52w_M_3,SPF_52w_M,,SPF,52w,M,3,Project_148,3,Sample_Mg_SPF3_old,"38,255,738.00"
SPF_8w_M_3,SPF_8w_M,,SPF,8w,M,3,Project_148,3,Sample_Mg_SPF3_young,"28,553,962.00"
SPF_52w_M_4,SPF_52w_M,,SPF,52w,M,4,Project_148,2,Sample_Mg_SPF4_old,"38,619,006.00"
SPF_8w_M_4,SPF_8w_M,,SPF,8w,M,4,Project_148,1,Sample_Mg_SPF4_young,"35,563,349.00"
SPF_52w_M_5,SPF_52w_M,,SPF,52w,M,5,Project_148,2,Sample_Mg_SPF5_old,"33,313,240.00"
SPF_104w_F_1,SPF_104w_F,,SPF,104w,F,1,Project_S174,6,Sample_SPF_2_w,"22,723,039.00"
SPF_104w_F_2,SPF_104w_F,,SPF,104w,F,2,Project_S174,6,Sample_SPF_3_w,"26,576,971.00"
SPF_104w_F_3,SPF_104w_F,,SPF,104w,F,3,Project_S174,6,Sample_SPF_4_w,"27,272,299.00"
SPF_104w_M_1,SPF_104w_M,,SPF,104w,M,1,Project_S174,6,Sample_SPF_6_m,"24,645,397.00"
SPF_104w_M_2,SPF_104w_M,,SPF,104w,M,2,Project_S174,6,Sample_SPF_7_m,"30,640,002.00"
SPF_104w_M_3,SPF_104w_M,,SPF,104w,M,3,Project_S174,6,Sample_SPF_8_m,"35,258,671.00"
SPF_104w_M_4,SPF_104w_M,,SPF,104w,M,4,Project_S174,6,Sample_SPF_9_m,"26,260,958.00"
GF_52w_F_1,GF_52w_F,,GF,52w,F,1,Project_S178,7,Sample_GF_1,"27,894,434.00"
GF_52w_F_2,GF_52w_F,,GF,52w,F,2,Project_S178,7,Sample_GF_2,"34,120,439.00"
GF_52w_F_3,GF_52w_F,,GF,52w,F,3,Project_S178,7,Sample_GF_3,"37,245,249.00"
GF_52w_F_4,GF_52w_F,,GF,52w,F,4,Project_S178,7,Sample_GF_4,"33,756,499.00"
GF_52w_F_5,GF_52w_F,,GF,52w,F,5,Project_S178,7,Sample_GF_5,"24,620,358.00"
GF_52w_F_6,GF_52w_F,,GF,52w,F,6,Project_S178,7,Sample_GF_6,"47,221,337.00"
SPF_52w_F_1,SPF_52w_F,,SPF,52w,F,1,Project_S178,7,Sample_SPF_1,"34,534,227.00"
SPF_52w_F_2,SPF_52w_F,,SPF,52w,F,2,Project_S178,7,Sample_SPF_2,"26,014,867.00"
SPF_52w_F_3,SPF_52w_F,,SPF,52w,F,3,Project_S178,7,Sample_SPF_3,"42,940,540.00"
SPF_52w_F_4,SPF_52w_F,,SPF,52w,F,4,Project_S178,7,Sample_SPF_4,"23,882,688.00"
SPF_52w_F_5,SPF_52w_F,,SPF,52w,F,5,Project_S178,7,Sample_SPF_5,"28,518,287.00"
SPF_52w_F_6,SPF_52w_F,,SPF,52w,F,6,Project_S178,7,Sample_SPF_6,"26,865,928.00"
SPF_104w_M_5,SPF_104w_M,,SPF,104w,M,5,Project_S198,7 & 8,Sample_01_SPF,"44,246,721.00"
SPF_104w_M_6,SPF_104w_M,,SPF,104w,M,6,Project_S198,7 & 8,Sample_02_SPF,"35,086,863.00"
SPF_104w_M_7,SPF_104w_M,,SPF,104w,M,7,Project_S198,7 & 8,Sample_03_SPF,"37,723,193.00"
SPF_104w_M_8,SPF_104w_M,,SPF,104w,M,8,Project_S198,7 & 8,Sample_04_SPF,"36,376,534.00"
SPF_104w_M_9,SPF_104w_M,,SPF,104w,M,9,Project_S198,7 & 8,Sample_05_SPF,"33,250,816.00"
SPF_104w_M_10,SPF_104w_M,,SPF,104w,M,10,Project_S198,7 & 8,Sample_06_SPF,"52,164,453.00"
SPF_104w_M_11,SPF_104w_M,,SPF,104w,M,11,Project_S198,7 & 8,Sample_07_SPF,"48,430,580.00"
SPF_104w_M_12,SPF_104w_M,,SPF,104w,M,12,Project_S198,7 & 8,Sample_08_SPF,"33,762,378.00"
SPF_104w_M_13,SPF_104w_M,,SPF,104w,M,13,Project_S198,7 & 8,Sample_09_SPF,"34,743,333.00"
SPF_104w_M_14,SPF_104w_M,,SPF,104w,M,14,Project_S198,7 & 8,Sample_10_SPF,"37,548,038.00"
SPF_8w_F_1,SPF_8w_F,,SPF,8w,F,1,Project_S225,7 & 8,Sample_01_SPF1,"28,258,409.00"
SPF_8w_F_2,SPF_8w_F,,SPF,8w,F,2,Project_S225,7 & 8,Sample_02_SPF2,"26,266,905.00"
SPF_8w_F_3,SPF_8w_F,,SPF,8w,F,3,Project_S225,7 & 8,Sample_03_SPF3,"30,663,225.00"
SPF_8w_F_4,SPF_8w_F,,SPF,8w,F,4,Project_S225,7 & 8,Sample_04_SPF4,"25,069,302.00"
SPF_8w_F_5,SPF_8w_F,,SPF,8w,F,5,Project_S225,7 & 8,Sample_05_SPF5,"36,250,953.00"
GF_8w_F_1,GF_8w_F,,GF,8w,F,1,Project_S225,7 & 8,Sample_06_GF1,"29,966,410.00"
GF_8w_F_2,GF_8w_F,,GF,8w,F,2,Project_S225,7 & 8,Sample_07_GF2,"29,519,275.00"
GF_8w_F_3,GF_8w_F,,GF,8w,F,3,Project_S225,7 & 8,Sample_08_GF3,"32,212,745.00"
GF_8w_F_4,GF_8w_F,,GF,8w,F,4,Project_S225,7 & 8,Sample_09_GF4,"31,183,005.00"
GF_8w_F_5,GF_8w_F,,GF,8w,F,5,Project_S225,7 & 8,Sample_10_GF5,"25,306,929.00"
GF_104w_F_1,GF_104w_F,,GF,104w,F,1,Project_S264,,28_GF1_2y_female_S17_L005_R1_001,
GF_104w_F_2,GF_104w_F,,GF,104w,F,2,Project_S264,,29_GF2_2y_female_S18_L005_R1_001,
GF_104w_F_3,GF_104w_F,,GF,104w,F,3,Project_S264,,30_GF3_2y_female_S19_L005_R1_001,
GF_104w_M_1,GF_104w_M,,GF,104w,M,1,Project_S264,,31_GF5_2y_male_S20_L005_R1_001,
GF_104w_M_2,GF_104w_M,,GF,104w,M,2,Project_S264,,32_GF6_2y_male_S21_L005_R1_001,
